topic_key,topic_name,topic_category
1,AI Assistants,Technology
2,Multimodal AI,Technology
3,AI Agents,Technology
4,AI Governance,Policy
5,Autonomous AI Systems,Technology
6,Tournament Build Up,Sports
7,Pakistan Squad Debate,Sports
8,Final Match Fever,Sports
9,Broadcast Rights,Business
10,Election Security,Politics
11,Youth Voter Turnout,Politics
12,Misinformation Monitoring,Policy
13,Coalition Negotiations,Politics
14,Flood Relief,Disaster Response
15,Emergency Logistics,Operations
16,Climate Risk,Environment
17,Resilience Funding,Policy
